Date,Actual_Close,Actual_Next_Close,Predicted_Next_Close,Prediction_Error_Absolute,Prediction_Error_Percentage,Actual_Direction,Predicted_Direction,Direction_Correct
2019-01-11,29264.802912516992,29165.21821849873,29165.096,0.1225153737286746,0.00042007357123412963,0,0,1
2019-01-14,29165.21821849873,29395.274020138324,29152.637,242.63730138832398,0.825429629341425,1,0,0
2019-01-15,29395.274020138324,29521.802426821665,29285.707,236.095395571665,0.7997323203991213,1,0,0
2019-01-16,29521.802426821665,29621.194066036525,29569.145,52.04953478652533,0.17571720664091997,1,1,1
2019-01-17,29621.194066036525,29260.71437399821,29515.309,254.59421975179066,0.870088872396189,0,0,1
2019-01-18,29260.71437399821,29481.83271909975,29296.098,185.73506284975156,0.6299983607512413,1,1,1
2019-01-22,29481.83271909975,29384.32596366272,29374.385,9.941198037719005,0.03383163544405443,0,0,1
2019-01-23,29384.32596366272,29262.742854020864,29305.32,42.57745847913611,0.1455005728326172,0,0,1
2019-01-24,29262.742854020864,29611.61723296761,29381.332,230.2852017176083,0.7776853250055659,1,1,1
2019-01-25,29611.61723296761,29719.455590084825,29678.389,41.06691820982451,0.13818193299451115,1,1,1
2019-01-28,29719.455590084825,29900.216643583408,29750.984,149.23226858340786,0.4991009609137168,1,1,1
2019-01-29,29900.216643583408,30162.236829511945,30004.617,157.61964201194496,0.5225727882944131,1,1,1
2019-01-30,30162.236829511945,30175.746832266654,30245.27,69.52269898334634,0.2303926374044415,1,1,1
2019-01-31,30175.746832266654,30145.59379400997,30260.352,114.7577684900316,0.38067841447805334,0,1,0
2019-02-01,30145.59379400997,30192.435132775256,30172.66,19.774976525255624,0.06549646107805657,1,1,1
2019-02-04,30192.435132775256,30288.710454150867,30226.314,62.39600102586701,0.20600415167994068,1,1,1
2019-02-05,30288.710454150867,30216.175255396352,30250.96,34.78568210364756,0.11512271758297779,0,0,1
2019-02-06,30216.175255396352,30117.25309460697,30225.883,108.62971789302901,0.36068932831221945,0,1,0
2019-02-07,30117.25309460697,30232.84037183241,30173.324,59.51615308241162,0.19685928397869665,1,1,1
2019-02-08,30232.84037183241,29897.96047312747,30235.205,337.2446049975297,1.1279853196028133,0,1,0
2019-02-11,29897.96047312747,29981.959096248032,30048.438,66.47840375196756,0.22172801830113473,1,1,1
2019-02-12,29981.959096248032,29841.59901291939,29958.822,117.22325270561123,0.3928182690708414,0,0,1
2019-02-13,29841.59901291939,29842.036042391115,29964.027,121.99130135888481,0.408790141482284,1,1,1
2019-02-14,29842.036042391115,30092.54646481281,29981.568,110.97810543781088,0.36878934645021644,1,1,1
2019-02-15,30092.54646481281,30892.097619083903,30273.957,618.1405878339028,2.0009667049997937,1,1,1
2019-02-19,30892.097619083903,30922.678536818927,30812.475,110.20392744392666,0.3563854512561367,1,0,0
2019-02-20,30922.678536818927,30339.230127161045,30540.102,200.87143533895505,0.6620848139423482,0,0,1
2019-02-21,30339.230127161045,30420.745528696927,30366.727,54.01896619692707,0.1775727887601214,1,1,1
2019-02-22,30420.745528696927,30279.573853713468,30315.818,36.24450566153246,0.11969952363476692,0,0,1
2019-02-25,30279.573853713468,30286.438078119696,30350.95,64.511140630304,0.21300339268654306,1,1,1
2019-02-26,30286.438078119696,30053.75841236299,30175.56,121.80213451201053,0.40528087316329026,0,0,1
2019-02-27,30053.75841236299,30047.52146588077,30060.752,13.230487244229153,0.04403187550511442,0,1,0
2019-02-28,30047.52146588077,29516.271499850965,30101.615,585.3437345240345,1.9831222060922908,0,1,0
2019-03-01,29516.271499850965,29324.037729981228,29410.1,86.06187939377196,0.29348577500219664,0,0,1
2019-03-04,29324.037729981228,29223.035913521013,29229.8,6.764867728987156,0.02314909289030153,0,0,1
2019-03-05,29223.035913521013,29224.07708749531,29124.938,99.13958749530866,0.3392394127571252,1,0,0
2019-03-06,29224.07708749531,29043.24435308732,29111.992,68.74783441267937,0.23670852187480015,0,0,1
2019-03-07,29043.24435308732,29392.949233935768,29234.527,158.42189018576755,0.5389792256806296,1,1,1
2019-03-08,29392.949233935768,28999.690659053435,29174.756,175.0652003215655,0.6036795439640725,0,0,1
2019-03-11,28999.690659053435,29086.430030327523,29035.408,51.02182720252313,0.17541453918313193,1,1,1
2019-03-12,29086.430030327523,29360.81380332032,29114.385,246.4290376953213,0.8393126953022448,1,1,1
2019-03-13,29360.81380332032,28994.829971098337,29199.78,204.9493257766626,0.7068478276332483,0,0,1
2019-03-14,28994.829971098337,29020.326319727978,28970.559,49.767725977977534,0.17149264770377684,1,0,0
2019-03-15,29020.326319727978,28826.228544430283,28978.33,152.10153369471664,0.5276497876240742,0,0,1
2019-03-18,28826.228544430283,28789.86347328396,28810.004,20.140432966039953,0.0699566810545302,0,0,1
2019-03-19,28789.86347328396,28983.06377699553,28799.365,183.69854262052831,0.633813402316472,1,1,1
2019-03-20,28983.06377699553,28901.05418497824,28913.152,12.098158771761518,0.04186061412960403,0,0,1
2019-03-21,28901.05418497824,29067.035591791853,28938.81,128.22504491685322,0.44113561051634137,1,1,1
