Date,Close,High,Low,Open,Volume
2021-12-06,42994.6908897689,43127.72650152346,42987.43322078601,43059.998099924866,381
2021-12-07,43208.19950853759,43293.03553476393,42958.54097809325,43133.059619934844,308
2021-12-08,43237.51318366763,43395.10196456169,43130.837109311295,43395.10196456169,1383
2021-12-09,43009.72672160999,43225.43032982068,42941.86687355929,43225.43032982068,455
2021-12-10,43334.64446270699,43395.40872860707,42999.22452813644,43113.463128231706,545
2021-12-13,43480.91884742956,43500.390128563515,43420.06552259766,43434.669726286564,206
2021-12-14,43160.42884033788,43565.118207231295,43126.29776641978,43565.118207231295,322
2021-12-15,43095.117348399865,43488.75762230926,42882.40577352726,43212.4773111772,283
2021-12-16,44021.253783774155,44058.00758627497,43639.01483597206,43639.01483597206,21
2021-12-17,44172.21494490712,44395.05897788992,44172.21494490712,44177.11143337783,654
2021-12-20,43831.74056506656,43980.805573244565,43790.199716113406,43907.496087112675,226
2021-12-21,43547.8573659931,43757.3268581646,43547.8573659931,43633.1068199333,575
2021-12-22,43839.67095772151,43927.271838761706,43447.89828805032,43460.06515959556,567
2021-12-23,43940.566238839936,43940.566238839936,43688.25969614302,43814.41296749147,193
2021-12-27,43781.93954045725,43878.79688270962,43755.30436250815,43827.94736919743,150
2021-12-28,43637.995169094065,43826.02881303492,43524.69473153716,43681.388453916,146
2021-12-29,43378.49543335492,43378.49543335492,43049.270859988304,43332.83580148776,623
2021-12-30,43459.31325851497,43538.431623193675,43058.93347756379,43195.589278418534,306
2021-12-31,43732.41468764488,43739.59491187366,43586.44113803682,43674.9816573104,80
2022-01-03,43107.76484406156,43843.235699838784,43093.39138284123,43843.235699838784,116
2022-01-04,43393.08508678038,43424.18383508016,43058.18806847006,43070.14867626686,38
2022-01-05,43723.84857434314,43723.84857434314,43448.268027739505,43448.268027739505,8
2022-01-06,42803.29050502152,42865.510406827285,42765.00335699484,42765.00335699484,30
2022-01-07,42995.66773434578,42995.66773434578,42694.196190798844,42871.25183405598,17
2022-01-10,42942.84032456557,42950.00208318154,42751.813457387645,42859.26607017523,534
2022-01-11,43300.6437881526,43393.502894160236,42929.21027060132,42950.63974221527,743
2022-01-12,43363.41991626885,43363.41991626885,43118.980303177035,43168.817280837044,1547
2022-01-13,43211.54295692683,43254.25264798027,43073.928312208125,43178.32752650497,40
2022-01-14,43201.176376125324,43331.98092887439,43201.176376125324,43320.08960589721,816
2022-01-18,43266.068215203115,43452.28029603119,43266.068215203115,43373.499270614884,900
2022-01-19,44217.42419836903,44217.42419836903,43600.862070488314,43600.862070488314,4
2022-01-20,44102.033452593365,44114.00143996177,43999.10759247626,44056.55451621902,20
2022-01-21,43847.68553329326,44101.41649942688,43778.26782658011,43996.09338461964,19
2022-01-24,44061.56533068847,44071.135674567166,43970.6543649882,43970.6543649882,8
2022-01-25,44462.6866043423,44462.6866043423,44205.8999750039,44229.89883492518,11
2022-01-26,43995.05639572709,43995.05639572709,43995.05639572709,43995.05639572709,55
2022-01-27,43181.41087590351,43181.41087590351,43181.41087590351,43181.41087590351,196036
2022-01-28,43159.50825570093,43485.94298788893,43012.008707793604,43464.18008206914,28521
2022-01-31,43305.45054352076,43389.89014068083,43066.606522549824,43148.63414879492,1735
2022-02-01,43153.63640817167,43292.662083732575,43076.92986291397,43079.32630237863,223
2022-02-02,43477.310716907305,43498.939415867666,43138.47087819653,43203.356975077615,1690
2022-02-03,43372.89795404645,43495.5827686094,43009.65352798019,43440.25581987485,466
2022-02-04,43355.81684005305,43526.206104545825,43017.43758221272,43341.41828366871,571
2022-02-07,43690.80096160554,43707.6013357092,43414.82369158676,43489.21697848519,601
2022-02-08,43844.247396641265,43868.25059820848,43565.81084447735,43659.42391660512,108
2022-02-09,44072.44396253504,44072.44396253504,43834.69717586971,43837.09809594713,683
2022-02-10,44163.582559600305,44305.48770187406,43793.18996802337,44093.83521182848,365
2022-02-11,44705.96293399455,45288.83075339673,44249.381956281904,44249.381956281904,181
2022-02-14,45247.99439295019,45310.972808760846,44923.40968762209,45097.8148662577,79
2022-02-15,45133.6318679035,45739.531693407385,44953.563952804616,45566.764992991746,86
2022-02-16,45201.34603968919,45201.34603968919,44865.395707018055,44923.399567104425,34
2022-02-17,45857.357460376035,45857.357460376035,45266.25666243761,45268.671674865414,393
2022-02-18,45819.51323477937,45838.821065991906,45628.85944891092,45838.821065991906,51
2022-02-22,45665.90723492437,45807.258670330346,45299.35508919622,45713.82277746656,173
2022-02-23,45805.24260034124,45838.831778830994,45481.35259881204,45502.94585131923,73
2022-02-24,46192.90429465445,47330.271090712224,45871.36980130097,45876.17057229754,2706
2022-02-25,45736.9326320454,46549.11775962214,45666.62347686,46231.51760014403,586
2022-02-28,45841.87274517399,46541.785503161955,45716.369379495416,46539.37260012454,390
2022-03-01,47015.06322573517,47015.06322573517,46080.76531084911,46189.686121113016,547
2022-03-02,46813.58599610246,47478.90301037757,46786.77887390379,47415.53991019896,109
2022-03-03,47036.73573588209,47180.20031699094,46803.30340078716,46941.90301492857,122
2022-03-04,47947.94493213876,48089.464664096275,47228.15235513446,47262.312598553675,47
2022-03-07,48988.044515106376,49164.93980784707,48228.86313540867,48867.65602461938,2516
2022-03-08,50557.866942417306,51348.41505725802,49514.54309092737,49549.23857099667,1813
2022-03-09,49108.49780490698,51015.07111437533,48982.382624490994,50782.624829094384,1022
2022-03-10,48909.37071505398,49212.89776492807,48419.811921073095,48419.811921073095,670
2022-03-11,48644.21893354261,48970.52674761187,48084.83796002706,48700.64909519517,865
2022-03-14,48356.828439343226,48803.47950337163,48356.828439343226,48773.86844311603,145
2022-03-15,47425.936689179114,47706.28765423819,46988.19544531759,47703.82904090703,71
2022-03-16,46784.26707198584,47137.356478710484,46764.64982982357,47137.356478710484,104
2022-03-17,47469.48348147443,47594.138859609404,47269.05742123272,47269.05742123272,39
2022-03-18,47103.32362634593,47374.484037831586,47103.32362634593,47257.22532032357,28
2022-03-21,47091.27307032494,47091.27307032494,47003.37125786517,47013.13878827888,5
2022-03-22,47121.111601642406,47121.111601642406,47121.111601642406,47121.111601642406,26
2022-03-23,47383.42762481886,47383.42762481886,47383.42762481886,47383.42762481886,204
2022-03-24,48279.22754441112,48338.29734775574,48279.22754441112,48328.4518797958,8
2022-03-25,47943.4701419766,47943.4701419766,47943.4701419766,47943.4701419766,83
2022-03-28,47566.959899230314,47566.959899230314,47395.29114098854,47395.29114098854,7
2022-03-29,46739.85696945512,46739.85696945512,46287.614629530995,46287.614629530995,128051
2022-03-30,47037.04662368384,47122.19255757724,46574.82583969108,46669.70333138892,17765
2022-03-31,47519.94094923516,47537.00817679634,46786.12753950404,47137.18865532872,3617
2022-04-01,46836.355223716455,47297.61741352169,46785.10453133183,47224.40128749457,1016
2022-04-04,47135.938894480285,47304.52646310121,46803.652125658955,46940.47573840526,371
2022-04-05,46662.51392827262,47162.40816900091,46553.313600636655,46764.4330491668,412
2022-04-06,46536.476758369674,46861.53405443443,46495.236444610426,46495.236444610426,138
2022-04-07,47217.43387752354,47241.85079379476,46868.2707826128,46868.2707826128,311
2022-04-08,47387.97175285135,47536.85178704699,47075.568283926325,47075.568283926325,153
2022-04-11,47456.432578086264,48044.66424902455,47395.41263339371,47512.56913950972,163
2022-04-12,48084.059167425796,48205.96997256421,47559.842705330615,47606.16940655081,246
2022-04-13,48500.28857969068,48500.28857969068,48218.737182080156,48218.737182080156,204
2022-04-14,48235.20354336584,48426.09656184773,48041.860765503145,48389.38602127296,101
2022-04-18,48662.57619729895,49011.05882243961,48414.71154174892,48429.43561119656,196
2022-04-19,47962.86241190596,48517.12196165582,47717.615883249215,48406.76102376029,130
2022-04-20,47983.17311265079,48015.122407889154,47816.04310602591,47816.04310602591,621
2022-04-21,47695.49813163438,47695.49813163438,47636.64145081795,47636.64145081795,4
2022-04-22,47360.21186959878,47836.021950658025,47340.58966244911,47816.399743508344,178
2022-04-25,46541.64460330002,47323.403851714356,46445.77101701663,47323.403851714356,748
2022-04-26,46782.53965050307,46971.99124742108,46600.46752937104,46760.39521624586,302
2022-04-27,46562.637365737384,46925.57733437264,46471.283016953086,46856.447490485414,1786
2022-04-28,46436.29986315031,46542.02250939971,46047.83681676416,46315.82898878334,513
2022-04-29,47014.47893967967,47233.629550167665,46844.57319191764,46851.95856869343,132
2022-05-02,45805.398411306574,46666.49460979729,45588.8930229514,46664.031932332306,385
2022-05-03,45978.218154124785,45978.218154124785,45978.218154124785,45978.218154124785,466
2022-05-04,45899.83646936793,45899.83646936793,45899.83646936793,45899.83646936793,1
2022-05-05,45791.34461004174,46531.72880299252,45791.34461004174,46353.35150760362,80
2022-05-06,46293.99924683261,46517.941371529196,46055.295470572484,46134.04230290596,214
2022-05-09,45949.128470741736,46206.45013580171,45872.42760469953,46184.181362998825,304
2022-05-10,45764.91201834826,45764.91201834826,45764.91201834826,45764.91201834826,1540
2022-05-11,46024.756496108756,46024.756496108756,45736.574449936204,45748.996116000824,892
